hospital,anio,integracion,recursos,procedimental,operatividad
CHBHdelaMujer,2024,13,0,7,16
CHBElCarmenT,2024,0,0,0,0
CHBTlaxco,2024,6,0,0,0
CHBContla,2024,0,0,0,0
CHBNativitas,2024,9,3,0,0
CHBHGSPM,2024,7,0,0,2
CHBHCZ,2024,6,1,0,3
CHBIMSSZ8,2024,10,0,6,12
CHBIMSSZ1,2024,9,0,0,1
CHBISSSTE,2024,10,1,0,0
CEIISSSTE,2024,0,0,0,0
CHBIMSSZ2,2024,8,1,0,4
CEIOPDSeSa,2024,14,0,5,8
CHBHIT,2024,10,0,7,12
CEIHIT,2024,5,1,0,4
CHBHuamantla,2024,7,4,0,0
CHBHumanitas,2024,7,4,0,0
CHBHCalpulalpan,2024,8,0,0,1
CHBHGT,2024,5,4,0,1
CEIHGT,2024,3,4,0,1
CHBHRESP,2024,9,0,0,6
