hospital,anio,integracion,recursos,procedimental,operatividad
CHBHdelaMujer,2024,13,0,7,16
CHBElCarmenT,2024,0,0,0,0
CHBTlaxco,2024,6,0,0,0
CHBContla,2024,0,0,0,0
CHBNativitas,2024,9,3,0,0
CHBHGSPM,2024,7,0,0,2
CHBHCZ,2024,6,1,0,3
CHBIMSSZ8,2024,10,0,6,12
CHBIMSSZ1,2024,9,0,0,1
CHBISSSTE,2024,10,1,0,0
CEIISSSTE,2024,0,0,0,0
CHBIMSSZ2,2024,8,1,0,4
CEIOPDSeSa,2024,14,0,5,8
CHBHIT,2024,10,0,7,12
CEIHIT,2024,5,1,0,4
CHBHuamantla,2024,7,4,0,0
CHBHumanitas,2024,7,4,0,0
CHBHCalpulalpan,2024,8,0,0,1
CHBHGT,2024,5,4,0,1
CEIHGT,2024,3,4,0,1
CHBHRESP,2024,9,0,0,6
CHBdelIMSS,2025,11,0,4,1
CHB del ISSSTE,2025,13,6,7,16
CHBNativitas,2025,11,0,0,4
CHBIMSS#1,2025,6,0,3,8
CHBHumanitas,2025,7,4,2,3
CHBHuamantla,2025,13,4,2,8
CHBdelHRESP,2025,11,2,0,3
CHBClinica2000,2025,11,5,0,8
CHBdeZacatelco,2025,10,0,0,7
CHBdeSPM,2025,7,0,0,1
CHBdelHMT,2025,7,0,2,8
Copia de CHBdelHMT,2025,7,0,3,14
CHBdelHGCalpulapan,2025,11,0,0,0
CEIdelIMSS,2025,14,2,7,12
CHB del HIT,2025,12,0,6,14
CEI del HIT,2025,11,1,4,8
CEI del OPD,2025,6,0,0,7
CHBdelIMSS,2026,11,0,4,1
CHB del ISSSTE,2026,13,6,7,16
CHBNativitas,2026,11,0,0,4
CHBIMSS#1,2026,10,0,3,7
CHBHumanitas,2026,13,3,3,1
CHBHuamantla,2026,14,4,6,9
CHBdelHRESP,2026,12,1,1,2
CHBClinica2000,2026,11,5,0,8
CHBdeZacatelco,2026,14,0,0,5
CHBdeSPM,2026,7,0,0,1
CBASdelHMT,2026,12,0,6,12
Copia de CHBdelHMT,2026,7,0,3,14
CHBdelHGCalpulapan,2026,11,0,0,0
CEIdelIMSS,2026,15,5,7,16
CEIdelaUAT,2026,11,3,7,13
CBAS del HIT,2026,14,0,5,14
CEI del HIT,2026,12,0,5,6
CEI del OPD,2026,6,0,0,7
CBAS San Carlos,2026,0,0,7,4
